student_id,year,day,attendance,engagement_score,difficulty
2025_934,2025,8,1,4.02,2
2025_333,2025,4,1,2.88,3
2025_178,2025,2,1,2.9,4
2024_751,2024,7,1,3.06,4
2025_302,2025,6,1,2.32,2
2024_34,2024,7,1,2.96,4
2025_992,2025,7,1,4.54,3
2025_788,2025,6,1,2.99,3
2025_552,2025,11,1,3.65,3
2024_19,2024,3,1,4.2,3
2025_569,2025,6,1,2.77,4
2025_118,2025,6,1,2.92,2
2025_181,2025,11,1,3.87,2
2025_1024,2025,6,1,3.27,3
2024_1185,2024,1,1,3.36,3
2025_760,2025,9,1,1.64,3
2025_654,2025,4,1,3.35,4
2025_569,2025,3,1,4.97,4
2025_448,2025,14,1,2.83,2
2025_908,2025,5,1,4.52,4
2024_154,2024,8,1,3.25,3
2024_497,2024,2,1,2.69,2
2024_1156,2024,3,1,5.0,2
2024_886,2024,3,1,3.7,2
2024_1130,2024,13,1,3.4,2
2025_536,2025,1,1,4.12,4
2024_881,2024,7,1,2.44,4
2025_1125,2025,11,1,3.06,3
2025_1027,2025,2,1,3.31,4
2024_671,2024,8,1,3.06,2
2024_421,2024,9,1,3.84,2
2025_1110,2025,9,1,2.76,3
2025_162,2025,3,1,1.67,2
2025_531,2025,12,1,3.76,2
2025_893,2025,3,1,2.98,3
2024_773,2024,14,1,5.04,4
2025_704,2025,6,1,2.21,3
2024_1126,2024,7,1,2.65,3
2024_824,2024,12,1,4.35,4
2025_75,2025,8,1,1.78,2
2025_99,2025,2,1,3.94,4
2024_851,2024,5,1,3.38,4
2025_287,2025,5,1,3.53,3
2025_874,2025,1,1,3.6,2
2025_329,2025,2,1,3.25,3
2024_953,2024,3,1,2.98,4
2024_105,2024,15,1,4.22,2
2025_1193,2025,1,1,1.53,2
2024_793,2024,11,1,2.22,4
2025_659,2025,6,1,3.79,4
2025_1051,2025,2,1,4.52,3
2024_306,2024,9,1,2.12,4
2025_777,2025,4,1,3.15,3
2025_546,2025,12,1,4.07,4
2025_290,2025,7,1,2.78,2
2025_88,2025,2,1,4.81,4
2025_527,2025,6,1,4.45,4
2024_670,2024,5,1,2.6,2
2025_1115,2025,6,1,2.59,3
2024_495,2024,6,1,2.68,2
2024_89,2024,4,1,3.79,4
2025_824,2025,12,1,4.03,2
2024_729,2024,7,1,3.12,4
2024_760,2024,1,1,4.31,2
2024_862,2024,3,1,3.08,4
2025_1006,2025,5,1,5.0,2
2025_343,2025,5,1,5.0,4
2025_1113,2025,6,1,3.74,4
2025_137,2025,14,1,3.82,3
2025_227,2025,1,1,3.54,2
2025_589,2025,6,1,3.58,4
2024_1076,2024,3,1,2.53,2
2025_342,2025,1,1,4.01,2
2024_1190,2024,1,1,5.0,2
2024_793,2024,15,1,3.66,2
2025_1091,2025,1,1,4.65,2
2025_799,2025,1,1,2.69,2
2025_1140,2025,3,1,3.88,2
2025_1033,2025,4,1,2.62,4
2024_724,2024,8,1,4.33,3
2025_123,2025,7,1,4.01,3
2024_1047,2024,4,1,2.76,2
2024_189,2024,8,1,3.83,3
2025_563,2025,5,1,2.23,4
2024_450,2024,2,1,1.58,3
2025_809,2025,1,1,3.0,3
2024_135,2024,4,1,3.91,4
2024_1153,2024,1,1,2.6,2
2025_891,2025,4,1,4.22,4
2025_881,2025,6,1,3.86,3
2025_411,2025,6,1,2.5,4
2025_909,2025,9,1,5.0,3
2025_824,2025,5,1,1.65,4
2024_56,2024,1,1,4.68,2
2025_168,2025,4,1,3.61,3
2024_79,2024,4,1,3.27,4
2025_624,2025,4,1,2.75,4
2024_1017,2024,10,1,3.8,3
2024_1083,2024,5,1,5.0,3
2024_426,2024,10,1,4.36,3
2024_420,2024,1,1,1.04,3
2025_545,2025,3,1,3.04,4
2024_845,2024,3,1,4.13,2
2025_779,2025,7,1,3.74,4
2025_495,2025,5,1,3.86,2
2025_141,2025,1,1,3.13,3
2025_571,2025,11,1,5.65,3
2025_507,2025,1,1,2.24,4
2025_181,2025,6,1,2.21,2
2024_1059,2024,3,1,3.09,3
2024_355,2024,2,1,2.13,3
2025_420,2025,1,1,5.0,3
2024_338,2024,6,1,3.8,2
2024_488,2024,1,1,3.81,4
2025_1107,2025,3,1,3.42,3
2025_992,2025,8,1,2.89,4
2025_355,2025,8,1,3.86,2
2025_127,2025,9,1,1.24,4
2024_341,2024,6,1,3.8,4
2024_515,2024,12,1,4.22,2
2025_273,2025,8,1,3.83,2
2024_1139,2024,8,1,2.07,2
2024_597,2024,6,1,4.85,4
2024_634,2024,1,1,3.86,2
2025_1073,2025,10,1,4.34,4
2025_1055,2025,4,1,2.47,3
2025_810,2025,3,1,5.0,4
2025_1078,2025,13,1,2.95,2
2024_758,2024,10,1,4.72,2
2025_458,2025,8,1,4.14,4
2024_40,2024,14,1,3.33,2
2024_596,2024,2,1,3.54,3
2025_236,2025,6,1,4.63,2
2025_690,2025,4,1,1.62,4
2025_428,2025,1,1,3.78,3
2024_71,2024,10,1,4.4,3
2025_354,2025,4,1,3.35,2
2025_338,2025,4,1,2.72,4
2024_404,2024,8,1,4.04,4
2024_10,2024,3,1,3.69,4
2024_1100,2024,2,1,2.84,4
2024_870,2024,2,1,1.75,4
2024_329,2024,7,1,2.12,4
2025_542,2025,2,1,1.93,2
2024_841,2024,1,1,3.9,4
2024_758,2024,13,1,3.21,3
2024_1079,2024,1,1,3.47,4
2025_1006,2025,2,1,4.3,4
2025_811,2025,2,1,3.19,3
2025_623,2025,5,1,4.2,2
2024_507,2024,8,1,3.97,2
2025_793,2025,7,1,1.78,4
2025_244,2025,2,1,5.0,4
2025_766,2025,7,1,2.12,3
2025_368,2025,4,1,2.78,4
2025_811,2025,5,1,2.31,2
2025_356,2025,14,1,3.19,2
2025_604,2025,2,1,3.41,3
2025_1038,2025,2,1,2.69,2
2024_523,2024,1,1,5.1,4
2025_1116,2025,7,1,3.33,4
2025_955,2025,13,1,3.32,3
2025_760,2025,12,1,4.67,3
2024_1063,2024,2,1,3.06,2
2024_885,2024,2,1,4.01,4
2024_295,2024,4,1,2.91,4
2025_379,2025,6,1,3.72,2
2025_375,2025,10,1,4.17,4
2025_760,2025,1,1,4.73,2
2024_150,2024,6,1,2.36,3
2025_390,2025,2,1,4.32,2
2024_380,2024,5,1,4.17,4
2024_200,2024,10,1,4.81,4
2024_780,2024,4,1,4.14,3
2025_171,2025,7,1,3.86,4
2025_200,2025,7,1,4.32,3
2025_725,2025,4,1,3.8,3
2024_387,2024,6,1,3.58,2
2024_169,2024,7,1,4.32,3
2024_1147,2024,9,1,4.34,4
2025_162,2025,8,1,2.05,4
2024_863,2024,2,1,3.32,2
2024_1070,2024,7,1,3.44,4
2025_955,2025,11,1,5.0,4
2024_687,2024,2,1,3.86,3
2025_303,2025,5,1,3.46,3
2025_676,2025,2,1,1.79,3
2025_1142,2025,5,1,3.17,2
2025_205,2025,2,1,3.7,4
2024_359,2024,7,1,2.75,2
2024_627,2024,13,1,3.96,3
2025_1073,2025,8,1,2.81,2
2025_69,2025,9,1,3.66,3
2024_633,2024,4,1,3.64,4
2024_1114,2024,1,1,3.35,2
2025_347,2025,3,1,3.64,2
2025_553,2025,9,1,3.07,2
2024_523,2024,4,1,4.32,2
2025_1045,2025,3,1,3.66,4
2024_757,2024,9,1,3.49,2
2024_30,2024,1,1,3.99,4
2025_17,2025,6,1,1.91,3
2025_495,2025,3,1,3.63,3
2025_1106,2025,14,1,3.21,3
2024_661,2024,5,1,1.26,3
2025_47,2025,9,1,2.76,4
2024_473,2024,6,1,3.24,4
2025_1156,2025,4,1,4.27,3
2025_135,2025,10,1,5.0,2
2024_38,2024,11,1,4.92,2
2024_1106,2024,1,1,4.64,2
2025_182,2025,12,1,2.47,3
2024_48,2024,2,1,2.59,3
2024_308,2024,5,1,4.68,3
2025_1173,2025,4,1,3.43,2
2024_607,2024,1,1,2.2,2
2025_295,2025,7,1,3.47,3
2025_1039,2025,5,1,2.54,4
2024_272,2024,2,1,5.0,4
2024_493,2024,6,1,3.36,4
2024_507,2024,15,1,2.22,3
2025_171,2025,9,1,2.87,4
2025_393,2025,5,1,2.93,3
2024_101,2024,8,1,3.09,3
2025_835,2025,2,1,4.56,4
2024_708,2024,7,1,1.47,4
2024_1067,2024,2,1,3.16,2
2025_31,2025,4,1,3.9,3
2024_1126,2024,9,1,2.79,4
2024_633,2024,1,1,2.88,2
2025_752,2025,8,1,5.0,2
2025_904,2025,3,1,3.39,3
2025_314,2025,6,1,4.48,4
2025_196,2025,8,1,2.07,4
2024_198,2024,2,1,4.6,2
2024_648,2024,3,1,3.52,2
2024_482,2024,3,1,5.0,3
2025_554,2025,1,1,4.54,3
2024_929,2024,11,1,3.75,3
2025_212,2025,4,1,2.93,2
2024_1041,2024,4,1,3.1,3
2025_315,2025,5,1,4.06,2
2024_411,2024,7,1,3.89,4
2024_481,2024,14,1,3.27,4
2024_230,2024,2,1,2.69,3
2024_326,2024,10,1,5.0,3
2025_892,2025,3,1,3.84,4
2024_56,2024,4,1,3.1,2
2024_559,2024,1,1,2.35,3
2024_149,2024,7,1,4.87,2
2025_779,2025,5,1,3.96,3
2025_1181,2025,1,1,3.25,2
2024_523,2024,2,1,2.87,4
2024_150,2024,4,1,4.59,3
2024_670,2024,1,1,4.73,2
2024_687,2024,5,1,3.42,3
2024_614,2024,6,1,3.74,3
2025_761,2025,8,1,3.72,3
2025_234,2025,3,1,5.0,3
2024_466,2024,9,1,1.86,4
2025_980,2025,11,1,2.1,3
2024_995,2024,3,1,5.0,3
2025_1046,2025,3,1,3.06,4
2025_21,2025,5,1,2.85,2
2024_953,2024,6,1,4.05,2
2024_558,2024,2,1,2.4,2
2024_432,2024,5,1,3.38,2
2024_897,2024,10,1,1.52,2
2024_248,2024,2,1,4.14,2
2024_1198,2024,5,1,4.56,2
2024_440,2024,1,1,2.65,2
2025_1115,2025,5,1,3.14,3
2024_395,2024,5,1,5.26,2
2024_1020,2024,7,1,3.28,3
2025_305,2025,1,1,4.92,3
2025_152,2025,9,1,4.42,2
2024_1171,2024,2,1,4.01,2
2024_201,2024,7,1,4.87,4
2024_721,2024,4,1,5.0,2
2024_1171,2024,7,1,2.39,2
2024_56,2024,6,1,4.38,2
2025_69,2025,1,1,3.48,3
2024_720,2024,6,1,1.98,4
2024_729,2024,9,1,2.72,4
2025_514,2025,2,1,2.15,3
2024_1138,2024,5,1,4.28,3
2025_445,2025,3,1,2.82,3
2024_1190,2024,14,1,2.54,3
2024_26,2024,6,1,3.22,2
2025_1133,2025,1,1,3.33,4
2024_625,2024,6,1,2.55,3
2024_353,2024,10,1,2.87,3
2025_922,2025,1,1,3.83,4
2024_9,2024,2,1,3.47,3
2024_481,2024,1,1,4.35,4
2024_15,2024,3,1,1.97,2
2025_563,2025,4,1,4.32,3
2024_239,2024,3,1,2.95,3
2025_221,2025,6,1,3.09,2
2025_547,2025,8,1,3.41,4
2024_78,2024,2,1,3.78,4
2024_773,2024,8,1,4.18,4
2025_1083,2025,9,1,5.0,3
2024_863,2024,13,1,3.48,4
2024_1163,2024,9,1,3.24,3
2025_496,2025,1,1,5.0,2
2025_823,2025,8,1,5.0,4
2024_454,2024,4,1,3.48,2
2024_73,2024,2,1,2.48,2
2024_302,2024,3,1,3.72,3
2024_0,2024,9,1,3.69,2
2024_597,2024,8,1,3.86,3
2025_1125,2025,9,1,1.85,2
2024_1190,2024,6,1,3.4,3
2025_1146,2025,6,1,1.63,3
2025_1023,2025,8,1,3.37,4
2025_477,2025,10,1,5.0,3
2025_883,2025,4,1,2.41,4
2024_65,2024,8,1,4.54,3
2025_553,2025,5,1,2.48,4
2025_222,2025,4,1,4.58,4
2025_1079,2025,5,1,2.8,3
2025_136,2025,1,1,4.1,2
2025_427,2025,11,1,4.57,3
2025_1173,2025,2,1,2.96,2
2024_594,2024,11,1,3.15,2
2024_161,2024,7,1,1.69,4
2025_232,2025,10,1,4.49,4
2024_1104,2024,5,1,4.9,3
2025_813,2025,1,1,2.31,4
2024_441,2024,9,1,3.28,4
2025_293,2025,5,1,4.36,3
2024_884,2024,7,1,3.69,3
2024_1163,2024,1,1,4.69,4
2025_798,2025,1,1,3.85,3
2025_357,2025,7,1,5.15,4
2025_403,2025,4,1,3.74,2
2024_203,2024,3,1,2.74,4
2025_461,2025,1,1,4.14,2
2025_435,2025,8,1,3.71,4
2024_670,2024,9,1,3.76,2
2024_1054,2024,7,1,2.7,4
2025_338,2025,1,1,2.89,2
2025_948,2025,3,1,3.16,2
2024_960,2024,5,1,3.54,2
2024_355,2024,9,1,4.31,4
2025_178,2025,7,1,3.17,4
2024_17,2024,9,1,5.0,2
2024_1130,2024,2,1,2.08,2
2025_268,2025,5,1,3.08,4
2025_879,2025,2,1,2.7,2
2025_550,2025,4,1,4.88,2
2025_893,2025,2,1,2.37,3
2024_271,2024,5,1,1.37,4
2025_639,2025,5,1,4.15,2
2025_343,2025,4,1,5.0,4
2024_298,2024,2,1,3.1,2
2024_619,2024,5,1,5.0,4
2025_545,2025,6,1,2.96,3
2024_442,2024,1,1,2.61,2
2024_470,2024,4,1,3.09,2
2024_188,2024,13,1,3.52,4
2025_92,2025,7,1,3.87,2
2025_1125,2025,6,1,3.27,3
2024_1088,2024,8,1,3.71,2
2025_676,2025,3,1,2.46,2
2025_363,2025,7,1,3.77,3
2024_337,2024,3,1,5.0,3
2024_466,2024,3,1,4.63,2
2025_518,2025,8,1,5.27,4
2024_1140,2024,11,1,3.88,2
2024_929,2024,10,1,4.75,4
2024_207,2024,12,1,4.18,2
2024_86,2024,5,1,4.6,3
2025_1146,2025,3,1,3.51,2
2025_127,2025,7,1,3.56,4
2024_828,2024,1,1,4.7,3
2025_731,2025,11,1,2.02,4
2024_198,2024,5,1,4.19,2
2024_390,2024,5,1,2.79,4
2024_147,2024,2,1,3.4,3
2024_764,2024,8,1,4.59,2
2025_857,2025,8,1,3.88,3
2025_888,2025,6,1,3.28,3
2025_275,2025,6,1,4.18,4
2025_402,2025,8,1,2.35,3
2025_865,2025,4,1,1.82,4
2024_479,2024,2,1,4.5,4
2025_515,2025,3,1,3.23,4
2025_1019,2025,4,1,4.31,3
2024_346,2024,10,1,3.73,2
2024_733,2024,6,1,4.54,3
2025_15,2025,8,1,4.06,2
2024_485,2024,3,1,3.52,4
2025_205,2025,4,1,3.99,4
2025_923,2025,4,1,2.94,2
2025_1029,2025,2,1,3.64,3
2025_566,2025,7,1,3.78,3
2025_705,2025,6,1,1.19,2
2025_817,2025,7,1,3.81,2
2024_590,2024,5,1,3.18,4
2024_16,2024,10,1,2.26,4
2025_69,2025,6,1,1.55,2
2024_352,2024,4,1,2.61,2
2025_377,2025,3,1,3.35,4
2024_497,2024,8,1,4.35,3
2024_359,2024,4,1,4.7,4
2024_1199,2024,8,1,2.77,2
2024_629,2024,9,1,3.68,4
2024_537,2024,1,1,4.2,4
2025_211,2025,1,1,4.59,2
2024_1109,2024,5,1,3.49,4
2024_65,2024,1,1,2.83,2
2024_1168,2024,5,1,3.37,3
2024_1077,2024,3,1,2.64,3
2024_780,2024,7,1,2.74,2
2025_1137,2025,7,1,2.03,4
2024_400,2024,1,1,4.13,4
2024_16,2024,13,1,3.56,4
2025_282,2025,9,1,4.42,4
2024_510,2024,8,1,1.75,3
2024_894,2024,10,1,3.54,4
2025_1101,2025,11,1,2.35,4
2025_378,2025,10,1,2.9,2
2025_432,2025,5,1,3.17,2
2024_208,2024,15,1,5.14,3
2024_86,2024,10,1,2.9,4
2025_411,2025,5,1,5.0,3
2025_790,2025,5,1,4.25,2
2024_507,2024,12,1,3.35,4
2025_160,2025,2,1,2.83,4
2025_862,2025,2,1,2.53,2
2025_235,2025,5,1,2.1,4
2025_37,2025,3,1,1.15,4
2025_1066,2025,4,1,5.0,2
2025_47,2025,4,1,3.1,3
2024_16,2024,14,1,2.27,4
2024_497,2024,4,1,3.2,3
2024_769,2024,4,1,3.13,4
2024_752,2024,6,1,4.63,4
2024_574,2024,5,1,5.0,4
2024_611,2024,13,1,4.55,3
2025_1089,2025,7,1,2.94,2
2025_527,2025,10,1,3.27,2
2025_1100,2025,3,1,4.92,2
2025_322,2025,4,1,4.36,4
2024_150,2024,1,1,3.79,3
2024_1058,2024,6,1,3.78,4
2024_504,2024,7,1,4.05,2
2025_398,2025,6,1,1.5,4
2025_561,2025,9,1,3.42,3
2024_8,2024,3,1,3.59,2
2025_439,2025,9,1,2.55,3
2024_360,2024,13,1,3.53,2
2024_454,2024,7,1,3.23,2
2025_536,2025,3,1,4.44,4
2025_441,2025,1,1,3.91,2
2024_358,2024,10,1,2.5,2
2025_1025,2025,1,1,4.9,4
2025_827,2025,5,1,3.6,4
2025_570,2025,4,1,4.28,2
2025_344,2025,5,1,3.4,2
2024_1186,2024,2,1,0.65,2
2024_561,2024,10,1,4.42,3
2024_449,2024,6,1,3.29,2
2025_470,2025,7,1,4.0,3
2025_286,2025,6,1,3.9,2
2025_608,2025,4,1,3.36,4
2024_1098,2024,3,1,3.92,3
2025_865,2025,14,1,4.89,2
2025_1076,2025,11,1,4.91,4
2024_627,2024,8,1,3.09,4
2024_341,2024,8,1,4.05,2
2025_1019,2025,9,1,5.0,3
2025_934,2025,5,1,3.8,3
2024_232,2024,10,1,4.3,2
2024_432,2024,4,1,2.34,4
2024_788,2024,8,1,4.71,2
2025_138,2025,13,1,4.86,3
2024_147,2024,6,1,3.8,3
2024_1110,2024,5,1,4.87,4
2025_558,2025,5,1,3.79,4
2024_775,2024,3,1,2.35,2
2025_943,2025,7,1,3.5,3
2024_224,2024,6,1,1.86,2
2025_527,2025,3,1,3.03,3
2024_585,2024,2,1,3.75,2
2025_1115,2025,7,1,4.74,2
2024_802,2024,1,1,4.5,4
2025_1064,2025,6,1,4.13,4
2025_83,2025,4,1,1.23,4
2025_1067,2025,6,1,2.28,2
2024_1093,2024,7,1,4.72,4
2024_133,2024,7,1,4.53,4
2025_1192,2025,5,1,3.35,2
2024_1101,2024,9,1,3.76,3
2024_590,2024,11,1,3.61,3
2024_781,2024,2,1,1.41,4
2025_14,2025,10,1,3.07,3
2024_1117,2024,2,1,1.92,3
2024_298,2024,8,1,3.23,3
2024_764,2024,6,1,4.27,4
2024_309,2024,1,1,3.93,4
2024_454,2024,8,1,2.61,4
2025_21,2025,7,1,2.33,4
2024_805,2024,6,1,4.89,4
2025_133,2025,2,1,2.4,3
2024_1109,2024,7,1,2.05,4
2025_780,2025,13,1,3.67,2
2024_621,2024,8,1,3.69,2
2025_294,2025,7,1,4.69,2
2024_41,2024,2,1,3.51,3
2024_778,2024,8,1,3.12,4
2025_128,2025,5,1,3.03,3
2025_893,2025,14,1,1.96,4
2025_761,2025,4,1,4.52,4
2025_385,2025,2,1,5.0,2
2024_89,2024,11,1,3.97,4
2025_241,2025,9,1,3.28,4
2024_219,2024,1,1,3.79,3
2024_818,2024,7,1,4.33,4
2024_68,2024,8,1,4.72,4
2024_426,2024,3,1,4.47,2
2025_107,2025,6,1,2.54,4
2024_1139,2024,9,1,3.05,3
2025_500,2025,1,1,2.74,3
2025_750,2025,4,1,1.45,4
2024_769,2024,1,1,4.29,4
2024_440,2024,14,1,2.3,2
2024_559,2024,4,1,2.51,2
2024_607,2024,4,1,3.07,4
2024_1199,2024,9,1,4.42,4
2024_738,2024,2,1,4.48,2
2025_980,2025,2,1,4.05,3
2024_615,2024,7,1,2.86,2
2025_906,2025,9,1,3.53,3
2025_855,2025,1,1,2.38,2
2025_1101,2025,4,1,3.15,4
2024_584,2024,10,1,3.34,3
2025_801,2025,2,1,3.26,4
2024_142,2024,5,1,3.98,2
2025_290,2025,2,1,5.0,3
2024_13,2024,1,1,1.03,4
2024_1049,2024,2,1,2.66,2
2024_89,2024,9,1,3.16,2
2025_1073,2025,3,1,3.1,3
2025_788,2025,4,1,3.45,3
2024_1168,2024,15,1,4.25,3
2025_390,2025,5,1,4.06,4
2025_364,2025,2,1,2.04,2
2025_1021,2025,10,1,4.36,2
2025_1195,2025,9,1,2.15,3
2025_445,2025,2,1,5.0,4
2025_704,2025,3,1,3.96,2
2025_488,2025,2,1,4.04,4
2024_493,2024,12,1,4.82,3
2025_440,2025,9,1,5.0,3
2024_274,2024,5,1,4.01,3
2024_794,2024,1,1,3.26,2
2025_590,2025,6,1,2.24,3
2025_19,2025,2,1,3.35,3
2024_968,2024,4,1,2.74,2
2024_671,2024,6,1,4.72,4
2025_413,2025,6,1,2.96,2
2025_1168,2025,4,1,4.13,3
2025_507,2025,4,1,4.37,2
2025_550,2025,7,1,4.25,4
2025_705,2025,1,1,2.41,3
2024_1093,2024,1,1,2.0,3
2024_919,2024,2,1,4.12,2
2025_487,2025,12,1,5.0,3
2024_168,2024,5,1,3.12,3
2025_731,2025,14,1,4.2,3
2024_763,2024,1,1,2.68,2
2025_778,2025,10,1,2.7,2
2024_16,2024,12,1,3.29,4
2025_259,2025,7,1,4.41,3
2025_554,2025,3,1,4.86,4
2025_356,2025,10,1,3.48,3
2024_27,2024,7,1,3.46,4
2025_995,2025,4,1,1.71,2
2024_27,2024,1,1,3.47,4
2024_855,2024,4,1,3.81,4
2025_14,2025,15,1,4.25,4
2024_1181,2024,7,1,2.33,4
2025_481,2025,1,1,4.16,3
2025_400,2025,9,1,3.71,3
2024_1168,2024,7,1,3.63,4
2025_432,2025,10,1,4.71,4
2025_923,2025,10,1,2.61,4
2025_514,2025,3,1,2.57,2
2024_761,2024,1,1,4.15,4
2025_817,2025,12,1,0.54,3
2024_704,2024,1,1,3.54,3
2025_196,2025,4,1,4.11,4
2024_105,2024,10,1,3.33,2
2025_638,2025,2,1,3.41,2
2024_720,2024,4,1,3.9,2
2025_1155,2025,12,1,2.45,3
2024_43,2024,1,1,3.6,2
2025_450,2025,11,1,2.3,4
2025_26,2025,2,1,2.33,3
2024_151,2024,11,1,2.59,2
2024_353,2024,6,1,3.98,2
2024_6,2024,4,1,3.21,3
2024_1116,2024,1,1,4.23,2
2025_56,2025,3,1,3.46,3
2025_356,2025,15,1,3.58,3
2024_503,2024,7,1,4.9,2
2024_1059,2024,7,1,2.29,3
2024_366,2024,3,1,3.17,2
2024_790,2024,8,1,2.67,2
2025_512,2025,7,1,3.35,2
2025_982,2025,11,1,2.02,3
2025_447,2025,1,1,3.93,2
2025_547,2025,1,1,3.59,4
2024_67,2024,5,1,4.34,2
2024_864,2024,3,1,2.58,2
2024_1131,2024,3,1,5.06,4
2024_309,2024,3,1,4.96,3
2024_497,2024,5,1,4.83,4
2025_592,2025,2,1,1.09,3
2025_940,2025,1,1,3.3,3
2025_1173,2025,5,1,4.11,4
2024_665,2024,7,1,2.97,2
2024_442,2024,6,1,2.93,2
2025_1046,2025,13,1,3.66,3
2025_225,2025,1,1,1.99,3
2025_876,2025,12,1,3.21,2
2024_495,2024,9,1,4.29,3
2024_646,2024,1,1,3.69,3
2024_50,2024,3,1,3.91,4
2024_600,2024,5,1,3.01,2
2025_729,2025,10,1,5.0,3
2025_223,2025,4,1,3.32,3
2024_485,2024,5,1,2.53,2
2025_1162,2025,10,1,5.0,3
2024_989,2024,13,1,3.15,3
2024_568,2024,12,1,3.99,4
2025_1115,2025,1,1,5.0,4
2024_92,2024,5,1,2.18,2
2025_521,2025,2,1,3.51,3
2025_1187,2025,2,1,3.41,4
2025_185,2025,7,1,1.2,4
2024_446,2024,2,1,3.23,4
2025_27,2025,3,1,3.75,4
2025_313,2025,6,1,5.0,2
2025_241,2025,10,1,2.26,3
2024_402,2024,4,1,2.94,3
2025_518,2025,9,1,4.4,3
2024_876,2024,5,1,3.4,4
2025_453,2025,4,1,3.86,3
2025_1059,2025,8,1,5.0,3
2024_1179,2024,4,1,4.52,2
2025_550,2025,3,1,4.01,2
2025_1051,2025,4,1,2.98,4
2025_129,2025,9,1,3.79,4
2024_358,2024,11,1,1.92,4
2024_1197,2024,2,1,2.4,3
2024_863,2024,12,1,3.45,2
2025_739,2025,3,1,3.07,2
2024_165,2024,7,1,2.43,4
2025_895,2025,4,1,3.17,2
2024_1007,2024,5,1,2.12,4
2025_14,2025,1,1,2.61,4
2025_400,2025,4,1,3.24,4
2025_154,2025,5,1,3.02,4
2024_377,2024,6,1,4.55,2
2024_725,2024,4,1,3.97,3
2024_864,2024,4,1,1.14,3
2024_1131,2024,5,1,4.92,2
