student_id,year,completion,satisfaction,self_reported_learning
2025_799,2025,0,3.55,2.58
2024_879,2024,0,3.46,3.72
2024_511,2024,0,3.0,3.57
2024_644,2024,0,3.66,1.21
2024_972,2024,0,3.01,2.75
2025_228,2025,0,3.47,3.22
2025_367,2025,0,3.66,3.53
2024_304,2024,1,4.02,4.0
2025_1182,2025,1,3.91,3.99
2024_380,2024,1,4.21,3.25
2024_846,2024,1,4.23,4.1
2025_903,2025,0,2.53,2.3
2024_577,2024,1,3.29,3.73
2025_414,2025,0,2.96,3.16
2024_68,2024,1,3.51,3.16
2024_37,2024,0,2.57,2.4
2025_1145,2025,0,4.39,2.48
2025_713,2025,1,4.42,5.0
2025_3,2025,1,2.71,4.84
2025_991,2025,1,3.72,3.8
2025_782,2025,0,3.17,3.34
2024_414,2024,0,2.41,3.26
2024_1073,2024,0,2.28,3.13
2025_345,2025,0,2.99,4.07
2025_1135,2025,1,4.36,4.4
2024_793,2024,1,4.56,5.0
2025_81,2025,1,4.32,5.0
2025_971,2025,0,4.26,2.65
2024_717,2024,0,2.68,2.5
2025_425,2025,0,2.4,1.0
2025_1180,2025,1,4.68,3.55
2025_989,2025,0,3.55,3.38
2025_69,2025,1,4.49,3.6
2024_571,2024,0,2.45,3.51
2025_459,2025,0,3.33,3.48
2024_766,2024,0,1.46,2.94
2025_399,2025,0,2.96,3.26
2025_311,2025,1,5.0,4.92
2025_764,2025,0,2.71,1.0
2024_30,2024,1,3.84,4.51
2025_1186,2025,0,3.03,5.0
2024_1103,2024,1,3.96,2.67
2024_115,2024,0,2.44,2.88
2024_728,2024,1,4.2,3.36
2025_514,2025,0,3.28,2.77
2024_618,2024,1,4.34,5.0
2025_628,2025,0,2.98,1.51
2024_337,2024,0,2.98,2.09
2024_243,2024,0,3.39,3.08
2024_428,2024,0,1.65,2.16
2024_1076,2024,0,1.83,2.03
2024_1106,2024,0,4.18,3.26
2024_163,2024,0,2.77,1.84
2025_465,2025,1,4.01,3.89
2024_806,2024,1,4.79,4.36
2024_826,2024,1,4.94,5.0
2025_161,2025,0,3.04,3.58
2024_624,2024,0,3.54,2.09
2024_1167,2024,0,3.82,2.65
2025_602,2025,0,3.44,3.05
2024_38,2024,1,4.25,4.28
2024_819,2024,1,4.12,3.41
2024_504,2024,0,3.3,3.4
2024_995,2024,0,3.52,3.55
2025_610,2025,0,2.52,3.05
2024_275,2024,1,4.41,4.92
2025_434,2025,0,3.79,3.03
2025_1036,2025,1,3.98,4.08
2024_502,2024,1,3.75,3.23
2024_421,2024,1,4.09,4.22
2024_1098,2024,1,5.0,4.56
2024_867,2024,1,4.91,3.86
2024_635,2024,0,1.92,3.57
2024_1188,2024,0,3.38,3.47
2024_491,2024,0,2.59,1.97
2024_957,2024,1,4.26,4.76
2025_121,2025,0,3.01,3.27
2024_670,2024,1,4.2,3.63
2025_900,2025,0,3.37,2.6
2025_572,2025,0,2.69,3.1
2025_1107,2025,0,3.16,5.0
2025_618,2025,1,3.54,4.25
2025_376,2025,1,3.02,3.25
2025_391,2025,0,3.92,2.63
2024_189,2024,1,4.37,3.94
2024_162,2024,0,2.33,1.77
2025_305,2025,0,3.41,3.49
2025_532,2025,1,2.89,4.07
2024_596,2024,0,2.1,3.2
2024_927,2024,1,4.8,4.42
2025_701,2025,0,2.76,3.8
2024_576,2024,0,3.02,1.74
2025_360,2025,1,3.25,4.46
2024_574,2024,0,3.48,4.64
2025_897,2025,0,2.88,3.28
2025_556,2025,0,3.09,2.95
2024_482,2024,0,3.03,3.83
2025_101,2025,0,2.55,2.99
2025_208,2025,1,3.89,4.38
2025_1090,2025,1,3.88,4.39
2024_562,2024,0,2.81,3.28
2025_949,2025,0,2.93,1.0
2024_519,2024,0,2.71,2.78
2025_274,2025,1,3.85,3.25
2024_687,2024,0,3.05,3.95
2024_49,2024,0,2.98,2.35
2024_593,2024,1,4.63,3.76
2025_97,2025,0,1.25,1.83
2025_537,2025,0,2.4,1.99
2025_1113,2025,1,4.74,4.71
2024_54,2024,0,1.84,3.35
2024_925,2024,0,2.21,2.86
2025_464,2025,0,3.35,2.26
2024_945,2024,1,3.72,3.92
2025_705,2025,1,4.54,4.21
2025_117,2025,0,2.68,1.38
2024_146,2024,1,4.7,4.33
2025_312,2025,1,3.86,2.99
2025_1020,2025,0,2.89,2.81
2025_428,2025,0,2.37,2.53
2024_1063,2024,1,3.59,5.0
2024_86,2024,1,5.0,5.0
2024_446,2024,1,3.41,3.66
2024_342,2024,0,3.35,3.13
2024_705,2024,0,2.34,3.06
2025_842,2025,0,3.09,3.08
2025_1045,2025,1,4.05,4.87
2025_605,2025,1,3.57,4.98
2025_1048,2025,0,2.92,3.27
2024_404,2024,0,3.36,3.62
2025_868,2025,0,2.86,2.29
2025_240,2025,1,4.86,4.63
2024_1155,2024,0,2.45,3.42
2025_528,2025,0,3.76,3.01
2024_802,2024,1,4.08,5.0
2025_624,2025,0,2.98,4.17
2024_211,2024,1,3.76,4.96
2025_398,2025,0,3.46,3.29
2024_864,2024,1,2.76,3.51
2025_1137,2025,0,2.72,2.92
2024_150,2024,1,3.29,3.43
2025_393,2025,0,2.06,3.02
2024_646,2024,0,3.76,3.83
2024_492,2024,0,3.26,1.9
2024_866,2024,0,2.27,1.82
2024_1109,2024,1,4.29,2.42
2025_785,2025,0,3.94,3.2
2025_828,2025,0,2.56,4.04
2024_953,2024,0,3.55,3.66
2024_199,2024,1,3.88,2.52
2025_467,2025,0,3.97,3.66
2024_973,2024,1,3.85,4.52
2024_745,2024,0,4.29,2.89
2024_18,2024,0,4.36,1.56
2024_1021,2024,0,3.12,3.68
2025_1040,2025,0,2.64,2.1
2024_581,2024,1,4.6,5.0
2024_698,2024,1,3.21,3.75
2025_787,2025,0,1.61,2.88
2024_588,2024,1,4.7,4.7
2024_748,2024,0,2.66,2.93
2024_757,2024,1,4.47,4.61
2025_563,2025,0,3.38,3.26
2024_183,2024,0,3.04,1.0
2025_748,2025,0,2.04,3.27
2024_673,2024,0,2.5,1.79
2024_445,2024,1,4.46,4.08
2024_358,2024,1,4.09,3.3
2025_387,2025,0,2.75,2.96
2025_925,2025,0,3.21,1.77
2025_21,2025,1,3.78,2.98
2024_880,2024,1,3.03,4.38
2024_1083,2024,0,2.53,3.27
2024_322,2024,0,2.83,3.59
2024_1061,2024,0,3.78,2.66
2024_1136,2024,0,2.46,2.87
2024_302,2024,0,2.3,2.94
2025_324,2025,1,4.24,3.44
2024_1137,2024,1,2.93,3.54
2025_680,2025,1,3.72,2.3
2024_1147,2024,1,4.33,4.09
2025_1148,2025,1,4.08,3.33
2025_432,2025,1,3.36,4.45
2024_865,2024,0,3.21,4.51
2025_849,2025,0,2.61,3.96
2024_902,2024,0,3.11,3.91
2024_738,2024,0,2.84,2.79
2025_638,2025,1,4.83,4.31
2025_261,2025,0,2.02,2.17
2024_1174,2024,0,3.57,4.37
2025_1075,2025,0,3.01,3.85
2025_696,2025,0,2.99,3.44
2025_100,2025,0,2.68,2.85
2024_725,2024,1,4.57,5.0
2025_1056,2025,0,2.32,2.28
2024_638,2024,0,1.6,2.9
2025_723,2025,0,3.08,1.81
2025_461,2025,0,3.42,2.09
2025_613,2025,0,2.74,4.82
2024_658,2024,1,3.03,4.94
2025_1132,2025,0,2.76,3.26
2024_713,2024,0,2.84,4.48
2025_42,2025,0,4.19,2.97
2024_756,2024,0,1.78,1.81
2025_623,2025,0,3.47,3.31
2025_1114,2025,0,2.64,1.43
2024_537,2024,1,5.0,5.0
2024_781,2024,0,3.31,2.56
2024_224,2024,0,3.12,4.18
2024_235,2024,1,2.68,3.37
2024_754,2024,0,3.72,3.24
2025_687,2025,0,1.71,2.41
2025_202,2025,0,3.62,3.15
2024_135,2024,0,2.92,2.98
2024_47,2024,0,3.35,2.05
2025_1006,2025,1,5.0,5.0
2024_295,2024,1,4.21,5.0
2024_1198,2024,0,3.27,4.02
2025_230,2025,1,3.71,3.91
2024_891,2024,0,2.68,2.31
2024_691,2024,0,3.06,2.12
2025_752,2025,1,4.06,3.11
2024_346,2024,1,4.36,5.0
2024_172,2024,0,2.7,2.09
2024_351,2024,1,4.12,5.0
2024_978,2024,0,3.43,3.47
2024_1093,2024,1,4.5,4.26
2025_1007,2025,1,4.89,4.21
2025_185,2025,1,5.0,4.32
2025_224,2025,1,3.11,4.48
2025_557,2025,1,4.06,3.91
2024_647,2024,0,3.13,3.91
2024_423,2024,1,3.22,3.29
2025_908,2025,0,3.33,3.39
2025_382,2025,0,2.56,2.12
2025_553,2025,1,3.61,4.3
2024_209,2024,1,3.26,4.08
2025_1163,2025,1,3.88,3.36
2024_318,2024,1,4.03,5.0
2025_586,2025,0,2.45,1.94
2025_569,2025,0,3.18,2.75
2024_639,2024,1,3.67,5.0
2025_392,2025,0,2.79,3.7
2025_295,2025,1,4.08,4.42
2025_608,2025,1,3.68,5.0
2024_751,2024,1,3.88,3.82
2025_877,2025,0,2.34,2.96
2025_153,2025,0,3.47,2.85
2025_166,2025,0,2.59,3.71
2024_758,2024,1,5.0,4.62
2025_386,2025,0,3.07,2.6
2025_289,2025,1,3.14,3.27
2024_919,2024,1,4.06,4.2
2024_824,2024,1,4.79,5.0
2024_637,2024,0,1.42,1.38
2025_1149,2025,0,3.6,2.85
2025_521,2025,1,3.47,2.99
2025_1089,2025,1,4.2,4.49
2025_648,2025,0,3.16,1.56
2025_1123,2025,0,2.7,1.98
2025_1133,2025,0,4.03,3.26
2024_843,2024,0,3.02,3.58
2025_269,2025,1,4.06,4.46
2024_306,2024,1,4.13,3.26
2025_507,2025,0,2.55,3.61
2025_468,2025,0,3.63,3.77
2024_674,2024,0,3.02,3.3
2025_1033,2025,1,3.5,2.78
2024_242,2024,0,2.27,2.81
2024_859,2024,0,1.91,1.14
2025_766,2025,1,5.0,4.74
2025_916,2025,0,3.28,2.96
2024_434,2024,0,2.55,2.9
2025_334,2025,1,4.81,5.0
2025_435,2025,1,3.25,3.37
2024_194,2024,0,2.91,2.38
2024_594,2024,1,3.37,3.75
2025_523,2025,0,2.59,2.74
2025_856,2025,1,4.38,3.73
2024_1088,2024,1,4.07,3.81
2025_344,2025,0,2.91,3.64
2024_580,2024,1,3.47,3.97
2025_939,2025,0,2.46,2.55
2025_1069,2025,1,4.23,3.6
2025_544,2025,0,2.28,3.45
2024_418,2024,0,2.74,2.57
2025_1185,2025,0,1.0,3.56
2024_408,2024,0,4.35,2.7
2025_1055,2025,1,3.57,4.0
2025_567,2025,1,4.41,4.41
2024_776,2024,0,2.78,2.2
2025_316,2025,0,2.46,3.85
2024_326,2024,1,2.44,3.61
2025_444,2025,1,4.85,4.33
2025_491,2025,0,3.22,4.25
2025_127,2025,1,3.8,3.56
2025_495,2025,0,3.72,3.03
2024_636,2024,0,3.91,1.74
2024_239,2024,0,3.53,2.14
2024_688,2024,1,4.12,3.99
2024_177,2024,0,3.32,3.34
2025_832,2025,0,3.54,4.02
2025_682,2025,1,4.29,3.77
2025_646,2025,0,2.21,2.39
2024_1112,2024,0,3.1,2.85
2025_859,2025,0,1.86,2.52
2024_940,2024,0,4.07,3.27
2025_493,2025,0,2.81,2.5
2025_1024,2025,1,4.13,4.08
2024_443,2024,0,3.8,2.22
2024_1151,2024,0,1.78,2.44
2025_674,2025,0,3.23,2.59
2025_151,2025,0,3.71,1.84
2025_659,2025,1,5.0,4.77
2024_896,2024,1,3.91,4.63
2025_654,2025,1,5.0,5.0
2025_36,2025,1,3.71,3.61
2025_684,2025,0,2.42,4.34
2024_352,2024,1,3.58,4.11
2025_174,2025,0,3.26,3.49
2025_453,2025,0,3.2,4.33
2024_71,2024,1,4.41,4.56
2024_767,2024,1,3.17,3.51
2025_487,2025,1,4.62,4.38
2024_681,2024,0,2.27,2.39
2025_43,2025,0,2.54,3.43
2024_535,2024,0,1.53,1.0
2025_590,2025,0,3.05,2.85
2025_982,2025,1,4.78,5.0
2025_400,2025,1,3.44,4.33
2024_941,2024,1,3.55,4.85
2024_928,2024,0,4.25,2.28
2024_552,2024,0,3.18,2.11
2025_906,2025,1,2.35,2.6
2024_716,2024,0,3.93,3.83
2024_664,2024,0,2.02,3.58
2025_165,2025,0,2.64,3.42
2025_757,2025,1,3.09,4.34
2025_664,2025,1,4.91,5.0
2025_378,2025,1,3.94,3.36
2025_411,2025,0,3.7,4.75
2024_373,2024,0,3.61,3.71
2024_27,2024,1,4.76,5.0
2024_367,2024,0,2.76,2.9
2025_853,2025,0,2.41,2.46
2024_820,2024,0,3.42,3.47
2024_796,2024,1,2.89,3.83
2025_1023,2025,1,4.59,3.66
2025_1174,2025,1,3.73,2.68
2025_102,2025,0,1.23,1.05
2025_689,2025,1,4.33,4.83
2025_527,2025,1,4.38,4.38
2025_1184,2025,0,1.99,2.75
2024_1119,2024,0,2.88,1.87
2025_358,2025,0,2.42,1.0
2025_883,2025,0,3.79,3.82
2024_420,2024,1,3.72,3.03
2024_292,2024,0,2.78,3.06
2024_319,2024,0,3.56,2.55
2025_974,2025,0,2.48,2.54
2024_411,2024,1,4.71,3.49
2024_1079,2024,1,4.07,2.92
2025_329,2025,0,2.07,2.82
2025_454,2025,1,2.82,3.58
2025_1179,2025,0,3.22,2.46
2024_871,2024,0,3.12,3.59
2024_813,2024,0,3.33,3.54
2025_26,2025,0,3.29,3.2
2025_1078,2025,1,4.58,4.63
2024_214,2024,1,3.75,3.4
2024_1153,2024,1,4.37,3.62
2025_1131,2025,1,4.13,3.94
2025_930,2025,1,4.7,4.75
2024_15,2024,1,3.38,2.76
2025_500,2025,1,3.77,3.05
2024_764,2024,1,3.51,4.78
2025_905,2025,0,1.94,2.54
2025_522,2025,0,3.74,3.68
2024_1025,2024,1,4.59,3.61
2024_50,2024,1,4.47,4.85
2025_287,2025,1,3.97,3.19
2024_317,2024,1,3.74,3.13
2025_549,2025,1,3.82,4.95
2024_507,2024,1,5.0,4.21
2025_463,2025,1,3.61,4.7
2025_282,2025,1,5.0,5.0
2025_730,2025,1,3.83,3.4
2024_1048,2024,0,3.51,3.44
2025_155,2025,0,2.86,3.04
2024_197,2024,0,2.58,2.81
2024_520,2024,1,3.62,4.16
2025_619,2025,1,4.58,3.75
2024_829,2024,0,3.75,3.45
2024_201,2024,1,3.65,3.63
2024_722,2024,1,3.13,3.81
2025_149,2025,1,2.83,4.2
2025_812,2025,0,3.08,3.53
2025_409,2025,1,4.12,4.1
2024_372,2024,1,3.49,3.9
2025_488,2025,1,3.17,3.3
2025_93,2025,1,4.34,4.17
2024_168,2024,0,3.51,2.71
2024_619,2024,1,3.59,3.6
2025_1172,2025,1,3.97,4.74
2024_390,2024,1,3.66,2.98
2024_707,2024,1,4.01,3.5
2024_1197,2024,0,3.54,3.13
2024_708,2024,1,4.75,4.18
2024_413,2024,0,3.22,3.42
2024_1114,2024,1,4.94,5.0
2025_551,2025,0,2.38,3.21
2025_293,2025,1,4.1,4.0
2024_1070,2024,0,2.62,3.17
2024_559,2024,0,3.32,2.47
2024_126,2024,1,4.83,4.87
2025_583,2025,0,3.04,1.92
2025_354,2025,1,5.0,4.87
2025_160,2025,0,2.94,1.24
2025_597,2025,0,2.18,2.0
2024_600,2024,0,2.45,4.76
2024_157,2024,0,3.03,2.77
2025_797,2025,0,2.94,1.0
2025_17,2025,1,3.69,3.51
2024_729,2024,1,4.07,3.63
2024_399,2024,1,4.55,4.44
2025_338,2025,0,3.17,3.55
2025_946,2025,0,2.79,3.96
2025_775,2025,0,2.66,3.41
2024_965,2024,1,3.79,3.88
2024_845,2024,1,3.52,4.22
2024_256,2024,1,3.48,2.88
2025_423,2025,0,2.41,3.86
2024_354,2024,0,3.55,4.4
2024_514,2024,1,3.98,3.66
2025_881,2025,1,3.44,3.79
2025_681,2025,0,2.2,2.9
2024_35,2024,0,3.03,2.4
2024_51,2024,0,3.28,1.76
2024_427,2024,1,4.38,4.53
2024_815,2024,1,3.84,5.0
2024_159,2024,1,5.0,4.15
2025_302,2025,1,4.27,4.16
2025_460,2025,0,2.68,2.23
2025_1017,2025,0,3.78,3.74
2025_820,2025,1,3.79,4.09
2024_331,2024,0,3.4,3.95
2024_755,2024,0,1.77,1.92
2024_551,2024,1,4.37,4.49
2025_251,2025,0,2.41,2.34
2025_973,2025,0,2.44,2.33
2024_440,2024,1,5.0,4.84
2025_1073,2025,1,3.17,4.95
2024_1171,2024,0,2.84,4.15
2025_948,2025,1,3.44,3.71
2025_234,2025,0,2.05,2.77
2024_409,2024,0,3.14,3.99
2025_584,2025,1,4.01,5.0
2024_195,2024,0,3.7,2.75
2024_1187,2024,0,2.18,3.1
2025_479,2025,1,4.41,2.95
2025_285,2025,0,2.31,2.22
2024_950,2024,1,4.02,3.78
2025_541,2025,0,2.56,2.15
2025_1008,2025,0,2.22,3.68
2024_750,2024,1,3.96,4.87
2025_218,2025,0,3.77,1.78
2025_839,2025,1,4.39,4.49
2025_675,2025,0,3.79,2.75
2024_1017,2024,1,3.89,3.18
2025_343,2025,0,3.05,3.34
2024_310,2024,0,3.31,3.45
2024_325,2024,0,2.86,2.66
2025_178,2025,1,3.73,5.0
2024_714,2024,1,4.04,3.43
2024_1175,2024,0,2.42,1.72
2024_369,2024,0,3.47,2.68
2025_123,2025,1,3.59,3.02
2025_340,2025,0,3.2,2.2
2024_881,2024,0,4.11,3.82
2025_144,2025,0,1.96,2.74
2024_724,2024,1,2.89,2.78
2025_433,2025,1,4.24,2.92
2025_29,2025,0,2.85,3.39
2024_13,2024,1,4.37,3.51
2025_825,2025,1,3.2,3.56
2024_621,2024,1,5.0,5.0
2025_38,2025,0,2.27,2.97
2024_176,2024,0,3.83,4.27
2025_614,2025,0,2.44,1.47
2024_723,2024,0,2.57,1.49
2024_485,2024,1,3.81,4.64
2024_1131,2024,0,4.24,3.48
2025_935,2025,0,2.4,3.16
2024_792,2024,1,3.07,4.22
2024_128,2024,0,2.36,3.3
2024_496,2024,1,3.03,3.9
2025_1152,2025,0,2.84,2.33
2024_569,2024,0,2.94,2.58
2025_290,2025,1,4.03,4.55
2025_407,2025,0,2.89,3.34
2025_781,2025,1,4.27,2.7
2024_53,2024,1,4.07,4.43
2024_9,2024,0,3.04,3.38
2024_156,2024,1,3.46,3.84
2024_454,2024,1,3.32,4.24
2024_700,2024,1,3.97,4.11
2025_980,2025,1,5.0,5.0
2024_938,2024,0,2.3,2.09
2025_616,2025,0,3.31,3.5
2024_876,2024,1,4.45,4.06
2025_181,2025,1,3.71,4.39
2024_929,2024,1,4.62,4.79
2024_1189,2024,1,4.62,5.0
2025_47,2025,1,4.48,3.12
2025_1164,2025,1,4.8,3.78
2025_1099,2025,0,2.41,4.19
2025_1147,2025,1,4.88,5.0
2024_752,2024,0,2.25,3.6
2024_328,2024,0,2.24,2.1
2024_775,2024,0,3.03,4.05
2025_887,2025,0,2.23,2.43
2024_1124,2024,0,4.37,3.95
2024_106,2024,0,2.77,1.77
2025_918,2025,0,3.17,3.32
2024_1178,2024,0,3.05,1.92
2025_585,2025,1,4.37,4.25
2024_823,2024,1,4.36,4.55
2025_913,2025,0,3.04,2.15
2025_835,2025,1,5.0,3.39
2025_1021,2025,1,4.78,4.87
2024_138,2024,0,2.95,2.71
2024_323,2024,0,2.1,1.15
2025_879,2025,0,3.53,2.26
2025_536,2025,1,4.08,5.0
2024_400,2024,0,2.89,4.02
2024_693,2024,0,2.69,2.29
2025_784,2025,1,3.9,3.53
2025_870,2025,0,4.43,1.63
2025_1016,2025,0,2.55,2.58
2025_148,2025,1,3.86,2.7
2025_397,2025,0,2.98,2.94
2025_561,2025,1,4.45,3.58
2024_546,2024,1,3.45,3.5
2024_435,2024,1,4.01,4.62
2024_381,2024,0,2.4,3.47
2025_361,2025,0,2.98,2.58
2025_745,2025,0,3.33,3.4
2025_639,2025,0,2.41,4.02
2025_1038,2025,1,3.38,1.92
2025_621,2025,0,2.62,1.47
2025_926,2025,1,4.08,5.0
2025_725,2025,1,4.43,4.53
2024_374,2024,0,2.72,2.24
2024_971,2024,1,4.29,3.73
2024_36,2024,1,3.19,3.28
2025_489,2025,1,2.8,3.42
2025_303,2025,1,3.94,4.54
2025_716,2025,0,3.29,3.62
2024_142,2024,1,3.23,2.97
2024_1019,2024,0,2.52,2.97
2024_147,2024,1,4.6,4.99
2024_791,2024,0,3.03,3.07
2024_281,2024,0,3.83,3.13
2025_753,2025,0,3.0,3.49
2024_274,2024,1,4.4,4.05
2025_118,2025,1,5.0,4.9
2024_1185,2024,0,3.01,2.75
2024_665,2024,1,4.42,4.16
2024_89,2024,1,4.38,4.73
2025_550,2025,1,3.22,3.21
2025_180,2025,0,2.47,1.6
2025_138,2025,1,4.4,3.39
2024_678,2024,1,3.17,3.99
2024_1186,2024,0,3.39,3.91
2025_719,2025,0,2.45,3.16
2024_641,2024,1,3.61,3.59
2024_219,2024,1,4.36,3.63
2025_356,2025,1,5.0,5.0
2024_483,2024,0,3.71,2.8
2024_371,2024,0,3.41,3.4
2025_1014,2025,0,2.6,3.7
2024_339,2024,0,3.04,2.49
2025_212,2025,1,4.4,3.99
2025_168,2025,1,5.0,4.41
2025_422,2025,0,2.93,3.64
2025_838,2025,0,3.38,3.25
2024_173,2024,0,2.1,2.16
2024_521,2024,0,2.75,2.45
2024_696,2024,0,3.47,4.21
2024_605,2024,1,3.34,3.66
2024_733,2024,0,2.88,2.59
2025_1125,2025,1,3.81,4.84
2025_770,2025,1,3.29,3.15
2024_1005,2024,0,3.26,3.11
2025_141,2025,1,5.0,3.44
2024_558,2024,0,2.56,2.71
2024_366,2024,1,4.99,4.86
2024_1007,2024,0,3.48,3.91
2024_215,2024,0,2.76,2.66
2024_663,2024,1,3.72,3.67
2025_810,2025,0,2.71,2.42
2024_1058,2024,0,2.94,2.35
2024_656,2024,1,4.24,5.0
2024_254,2024,1,4.2,5.0
2024_1183,2024,0,2.44,2.8
2025_739,2025,0,3.18,5.0
2025_538,2025,1,3.81,4.43
2025_1170,2025,1,4.2,3.97
2025_1146,2025,1,3.46,2.67
2025_77,2025,0,3.93,3.46
2025_969,2025,1,4.18,4.06
2025_111,2025,0,3.79,2.42
2025_806,2025,0,3.43,3.02
2024_704,2024,0,1.77,4.71
2025_75,2025,1,3.9,5.0
2025_961,2025,0,3.82,4.44
2024_803,2024,0,3.67,4.64
2025_1165,2025,0,3.26,3.0
2025_836,2025,0,3.14,2.86
2024_438,2024,1,4.31,3.64
2024_356,2024,0,2.23,2.6
2024_523,2024,0,3.34,3.18
2024_360,2024,1,4.2,4.94
2025_904,2025,1,4.14,3.62
2024_976,2024,1,4.78,5.0
2025_1173,2025,1,5.0,4.55
2025_458,2025,1,3.59,4.27
2024_501,2024,0,2.59,3.99
2024_671,2024,0,3.23,3.79
2024_720,2024,0,4.12,2.14
2024_425,2024,0,3.68,4.56
2025_1109,2025,1,4.85,4.21
2025_114,2025,1,3.77,3.75
2025_582,2025,0,2.71,3.69
2025_195,2025,1,3.07,4.05
2024_229,2024,0,2.06,2.15
2025_1042,2025,0,2.6,1.64
2025_794,2025,0,3.04,2.25
2025_275,2025,0,3.57,2.49
2025_1013,2025,1,4.21,3.38
2024_1097,2024,0,2.9,2.31
2024_459,2024,0,3.12,3.85
2024_701,2024,1,3.86,5.0
2024_1038,2024,1,3.58,3.18
2024_198,2024,1,3.38,3.56
2025_496,2025,1,4.29,3.94
2025_1158,2025,0,2.51,2.44
2024_648,2024,0,4.08,3.85
2025_105,2025,0,2.81,2.85
2025_394,2025,0,2.04,2.91
2024_1117,2024,0,3.06,3.45
2025_786,2025,0,2.68,3.49
2024_300,2024,0,2.59,3.26
2025_901,2025,1,4.9,4.65
2025_280,2025,0,3.01,2.84
2024_969,2024,0,3.39,4.17
2025_788,2025,1,3.98,3.69
2024_768,2024,1,3.87,3.53
2025_318,2025,0,3.04,3.71
2025_851,2025,0,2.55,1.33
2025_317,2025,0,2.7,3.4
2024_607,2024,0,3.57,2.59
2024_301,2024,1,4.8,5.0
2025_308,2025,0,3.35,3.34
2025_823,2025,1,3.83,4.38
2024_415,2024,0,3.35,4.79
2025_579,2025,0,1.77,2.54
2024_76,2024,1,4.91,1.88
2024_1003,2024,1,3.14,4.31
